ID,CALL,CN,TYPE
FEC3B,D-9088,AECDUO,undefined
DDAE40,D-0052,AECLS4,undefined
DD9F53,D-4309,AECLS6,undefined
DDA2A2,D-8321,AECASK21,undefined
DD9429,D-4784,AECAstir,undefined
DD9F04,D-5339,AECK8,undefined

DDA42E,D-3587,DJKASW24,undefined
F05F5,D-9566,DJKDUO,undefined
DDA37E,D-5039,DJKDG300,undefined
D027E5,D-1448,DJKASW27,undefined
DDA28C,D-2324,DJKK8,undefined
DDA375,D-4939,DJKMistralC,undefined
DDC3D2,D-4927,DJKASK21,undefined
EE49A,D-1027,DJKDG600,undefined
EEA7B,D-2532,DJKASG32,undefined

D00EA7,D-KHIP,AH,undefined
EF053,D-4028,Henrik1G,undefined
DDA9AC,D-KBFD,ASH-FD,undefined
DDA304,D_KDAX,HH,undefined
DF11BA,D3717,RP1,undefined
E7F38,D-KNJK,WT,undefined
E63E3,D-KDAH,BL,undefined
E7545,D-KJPL,PL,undefined
DDA54B,D-0776,7s,undefined
DDB027,D-4748,HR,undefined
D01607,D-KKNK,JK,undefined
DDF16B,D-KLGT,D-KLGT,undefined
DB0068,,Flarmflex,undefined

FEB9E,D-MMES,WT9,undefined
FEF58,D-MCCC,FK9,undefined
E7A3C,D-KLMI,MOSE,undefined
ADDA3E4,D-EODO,D-EODO,undefined
D1FEB,D-EKIL,Morane,undefined
